SchoolYear,ISDCode,ISDName,DistrictCode,DistrictName,BuildingCode,BuildingName,CharterAuthorizer,CharterManagement,ActualGradeListSearchable,AuthorizedEducationalSettings,SchoolEmphasis,SchoolStatus,CloseDate,OverallIndex,GrowthIndex,ProficiencyIndex,GraduationIndex,ELProgressIndex,SchoolQualityIndex,SubjectParticipationIndex,ELParticipationIndex,SupportCategoryName,SupportCategoryReason,SupportCategorySubgroupList,SupportCategoryNewOrRepeated
2024-2025,03000,Allegan Area Educational Service Agency,03000,Allegan Area Educational Service Agency,06730,Hillside Learning Center,--,--,"KG-Part,1,2,3,4,5,6,7,8,9,10,11,12","PK,SpecEdCtPr",Special Education,Open Active,,58.3,45,76.47,26.11,--,75.95,--,--,Universal Support,"Not identified for CSI, ATS, or TSI",--,Repeated
2024-2025,03000,Allegan Area Educational Service Agency,03030,Allegan Public Schools,03535,Allegan Alternative High School,--,--,"9,10,11,12","GenEd,Alt,AdultEd,SchlChoice,PCE,FaceVirt,SuppVirt",Alternative Education,Open Active,,31.03,31.88,16.92,23.53,--,57.98,70.18,--,Universal Support,"Not identified for CSI, ATS, or TSI",--,Repeated
2024-2025,03000,Allegan Area Educational Service Agency,03030,Allegan Public Schools,00062,Allegan High School,--,--,"9,10,11,12","GenEd,SpecEd,SchlChoice,SuppVirt",General Education,Open Active,,71.7,65.43,64.1,94.04,--,82.73,100,--,Universal Support,"Not identified for CSI, ATS, or TSI",--,Repeated
2024-2025,03000,Allegan Area Educational Service Agency,03030,Allegan Public Schools,04047,Allegan Online K-12,--,--,"KG,1,2,3,4,5,6,7,8,9,10,11,12","GenEd,SpecEd,SchlChoice,FaceVirt,SuppVirt",General Education,Open Active,,65.12,63.97,56.42,--,--,81.54,96.16,--,Universal Support,"Not identified for CSI, ATS, or TSI",--,Repeated
2024-2025,03000,Allegan Area Educational Service Agency,03030,Allegan Public Schools,00881,Dawson Elementary School,--,--,"KG,1,2,3,4,5","GenEd,SpecEd,SchlChoice,FaceVirt,SuppVirt",General Education,Open Active,,95.21,99.52,91.56,--,--,91.62,100,--,Universal Support,"Not identified for CSI, ATS, or TSI",--,Repeated
2024-2025,03000,Allegan Area Educational Service Agency,03030,Allegan Public Schools,00059,L.E. White Middle School,--,--,"6,7,8","GenEd,SpecEd,SchlChoice,FaceVirt,SuppVirt",General Education,Open Active,,63.08,64.11,50.66,--,--,81.03,99.97,--,Universal Support,"Not identified for CSI, ATS, or TSI",--,Repeated
2024-2025,03000,Allegan Area Educational Service Agency,03030,Allegan Public Schools,02748,North Ward Elementary School,--,--,DevK,"GenEd,PK,SpecEd,SchlChoice,Tuit,FaceVirt,SuppVirt",General Education,Open Active,,71.06,--,--,--,--,71.06,--,--,Universal Support,"Not identified for CSI, ATS, or TSI",--,Repeated
2024-2025,03000,Allegan Area Educational Service Agency,03030,Allegan Public Schools,05954,Pine Trails Elementary School,--,--,"KG,1,2,3,4,5","GenEd,PK,SpecEd,SchlChoice,FaceVirt,SuppVirt",General Education,Open Active,,66.3,68.3,49.94,--,--,90.51,100,--,Universal Support,"Not identified for CSI, ATS, or TSI",--,Repeated
2024-2025,03000,Allegan Area Educational Service Agency,03030,Allegan Public Schools,04469,West Ward Elementary School,--,--,"KG,1,2,3,4,5","GenEd,SpecEd,SchlChoice,FaceVirt,SuppVirt",General Education,Open Active,,84.37,88.79,74.12,--,--,92.6,100,--,Universal Support,"Not identified for CSI, ATS, or TSI",--,Repeated
2024-2025,03000,Allegan Area Educational Service Agency,03050,Fennville Public Schools,05790,Fennville Alternative High School,--,--,"9,10,11,12","AdultEd, Alt",Alternative Education,Open Active,,9.69,0,0,27.43,--,40.66,--,--,Universal Support,"Not identified for CSI, ATS, or TSI",--,Repeated
2024-2025,03000,Allegan Area Educational Service Agency,03050,Fennville Public Schools,07494,Fennville Elementary School,--,--,"DevK-Part,KG,1,2,3,4,5","GenEd, PK, SpecEd",General Education,Open Active,,67.53,76.15,38.97,--,71.01,96.3,100,100,Universal Support,"Not identified for CSI, ATS, or TSI",--,Repeated
2024-2025,03000,Allegan Area Educational Service Agency,03050,Fennville Public Schools,07311,Fennville Middle School,--,--,"6,7,8","GenEd, SpecEd",General Education,Open Active,,65.6,82.32,53,--,33.65,66.54,100,100,Universal Support,"Not identified for CSI, ATS, or TSI",--,Repeated
